noteInRange,tickStart,tickEnd,pitch,velocity
8,290880,291360,63,110
7,291360,291840,65,110
10,291840,292320,59,90
11,292320,292800,58,90
10,292800,293280,59,90
11,293280,293760,58,90
13,293760,294240,54,110
11,294240,294720,58,70
9,294720,295200,62,70
11,295200,295680,58,110
11,295680,296160,58,90
11,296160,296640,58,90
10,296640,297120,59,90
10,297120,297600,59,110
9,297600,298080,62,110
9,298080,298560,62,90
10,298560,299040,59,110
12,299040,299520,56,90
8,299520,300000,63,90
7,300000,300480,65,90
8,300480,300960,63,90
9,300960,301440,62,110
8,301440,301920,63,90
10,301920,302400,59,110
10,302400,302880,59,70
10,302880,303360,59,90
9,303360,303840,62,90
7,303840,304320,65,70
7,304320,304800,65,90
5,304800,305280,68,70
6,305280,305760,66,70
8,305760,306240,63,110
9,306240,306720,62,70
10,306720,307200,59,110
10,307200,307680,59,110
9,307680,308160,62,110
9,308160,308640,62,90
9,308640,309120,62,90
10,309120,309600,59,70
11,309600,310080,58,90
9,310080,310560,62,70
8,310560,311040,63,90
7,311040,311520,65,90
8,311520,312000,63,90
7,312000,312480,65,110
5,312480,312960,68,70
8,312960,313440,63,110
11,313440,313920,58,90
10,313920,314400,59,110
9,314400,314880,62,90
10,314880,315360,59,70
12,315360,315840,56,90
12,315840,316320,56,90
10,316320,316800,59,90
11,316800,317280,58,70
10,317280,317760,59,110
10,317760,318240,59,90
12,318240,318720,56,90
10,318720,319200,59,110
11,319200,319680,58,70
11,319680,320160,58,90
12,320160,320640,56,110
9,320640,321120,62,90
10,321120,321600,59,90
9,321600,322080,62,110
9,322080,322560,62,90
7,322560,323040,65,110
9,323040,323520,62,90
10,323520,324000,59,70
8,324000,324480,63,110
8,324480,324960,63,70
7,324960,325440,65,90
7,325440,325920,65,70
7,325920,326400,65,90
7,326400,326880,65,90
9,326880,327360,62,90
9,327360,327840,62,110
7,327840,328320,65,90
7,328320,328800,65,90
8,328800,329280,63,90
9,329280,329760,62,90
9,329760,330240,62,90
9,330240,330720,62,70
8,330720,331200,63,70
10,331200,331680,59,110
10,331680,332160,59,90
9,332160,332640,62,90
12,332640,333120,56,110
10,333120,333600,59,90
8,333600,334080,63,70
7,334080,334560,65,90
8,334560,335040,63,90
6,335040,335520,66,70
5,335520,336000,68,90
8,336000,336480,63,90
7,336480,336960,65,70
7,336960,337440,65,90
6,337440,337920,66,90
6,337920,338400,66,90
7,338400,338880,65,90
7,338880,339360,65,110
8,339360,339840,63,110
7,339840,340320,65,70
8,340320,340800,63,110
8,340800,341280,63,70
8,341280,341760,63,70
9,341760,342240,62,70
9,342240,342720,62,70
11,342720,343200,58,110
10,343200,343680,59,90
10,343680,344160,59,90
10,344160,344640,59,110
10,344640,345120,59,90
8,345120,345600,63,110
6,345600,346080,66,70
6,346080,346560,66,70
5,346560,347040,68,90
8,347040,347520,63,90
7,347520,348000,65,90
7,348000,348480,65,110
8,348480,348960,63,90
7,348960,349440,65,90
10,349440,349920,59,90
9,349920,350400,62,90
9,350400,350880,62,70
7,350880,351360,65,70
11,351360,351840,58,70
12,351840,352320,56,90
9,352320,352800,62,70
10,352800,353280,59,110
9,353280,353760,62,90
10,353760,354240,59,90
10,354240,354720,59,110
10,354720,355200,59,110
10,355200,355680,59,90
10,355680,356160,59,110
10,356160,356640,59,110
9,356640,357120,62,70
7,357120,357600,65,70
5,357600,358080,68,70
6,358080,358560,66,110
8,358560,359040,63,110
10,359040,359520,59,90
9,359520,360000,62,110
7,360000,360480,65,90
9,360480,360960,62,110
10,360960,361440,59,90
8,361440,361920,63,90
7,361920,362400,65,70
7,362400,362880,65,70
8,362880,363360,63,70
8,363360,363840,63,70
7,363840,364320,65,110
7,364320,364800,65,70
9,364800,365280,62,90
8,365280,365760,63,110
9,365760,366240,62,90
11,366240,366720,58,90
10,366720,367200,59,90
10,367200,367680,59,90
11,367680,368160,58,90
11,368160,368640,58,70
11,368640,369120,58,110
8,369120,369600,63,70
7,369600,370080,65,70
6,370080,370560,66,110
7,370560,371040,65,110
8,371040,371520,63,90
6,371520,372000,66,90
4,372000,372480,70,70
7,372480,372960,65,90
7,372960,373440,65,70
5,373440,373920,68,90
8,373920,374400,63,110
9,374400,374880,62,70
9,374880,375360,62,90
10,375360,375840,59,70
11,375840,376320,58,70
11,376320,376800,58,90
9,376800,377280,62,90
9,377280,377760,62,90
12,377760,378240,56,110
12,378240,378720,56,70
10,378720,379200,59,110
11,379200,379680,58,90
11,379680,380160,58,70
12,380160,380640,56,70
12,380640,381120,56,90
8,381120,381600,63,90
8,381600,382080,63,90
9,382080,382560,62,90
10,382560,383040,59,70
10,383040,383520,59,70
9,383520,384000,62,70
9,384000,384480,62,90
8,384480,384960,63,70
11,384960,385440,58,90
12,385440,385920,56,90
12,385920,386400,56,90
10,386400,386880,59,90
11,386880,387360,58,90
9,387360,387840,62,70
12,387840,388320,56,90
11,388320,388800,58,90
11,388800,389280,58,90
10,389280,389760,59,110
9,389760,390240,62,90
9,390240,390720,62,70
9,390720,391200,62,90
9,391200,391680,62,90
8,391680,392160,63,90
9,392160,392640,62,90
11,392640,393120,58,110
8,393120,393600,63,70
6,393600,394080,66,90
6,394080,394560,66,90
8,394560,395040,63,110
8,395040,395520,63,70
6,395520,396000,66,90
8,396000,396480,63,90
8,396480,396960,63,90
7,396960,397440,65,110
7,397440,397920,65,70
8,397920,398400,63,90
8,398400,398880,63,90
7,398880,399360,65,90
6,399360,399840,66,90
6,399840,400320,66,90
6,400320,400800,66,70
6,400800,401280,66,110
7,401280,401760,65,110
7,401760,402240,65,90
9,402240,402720,62,90
6,402720,403200,66,90
4,403200,403680,70,70
3,403680,404160,71,90
5,404160,404640,68,90
4,404640,405120,70,90
6,405120,405600,66,110
6,405600,406080,66,90
7,406080,406560,65,110
6,406560,407040,66,90
5,407040,407520,68,90
5,407520,408000,68,90
4,408000,408480,70,70
4,408480,408960,70,110
7,408960,409440,65,90
5,409440,409920,68,90
6,409920,410400,66,110
8,410400,410880,63,110
10,410880,411360,59,70
9,411360,411840,62,90
8,411840,412320,63,90
9,412320,412800,62,90
6,412800,413280,66,110
4,413280,413760,70,110
2,413760,414240,74,90
4,414240,414720,70,90
6,414720,415200,66,110
6,415200,415680,66,70
8,415680,416160,63,110
9,416160,416640,62,70
10,416640,417120,59,90
11,417120,417600,58,90
11,417600,418080,58,110
8,418080,418560,63,70
8,418560,419040,63,90
8,419040,419520,63,90
8,419520,420000,63,90
8,420000,420480,63,70
9,420480,420960,62,70
5,420960,421440,68,90
4,421440,421920,70,110
4,421920,422400,70,110
6,422400,422880,66,110
4,422880,423360,70,70
4,423360,423840,70,110
4,423840,424320,70,90
3,424320,424800,71,90
4,424800,425280,70,90
4,425280,425760,70,90
5,425760,426240,68,90
6,426240,426720,66,110
7,426720,427200,65,90
8,427200,427680,63,90
9,427680,428160,62,110
8,428160,428640,63,70
9,428640,429120,62,90
9,429120,429600,62,90
9,429600,430080,62,110
8,430080,430560,63,70
7,430560,431040,65,110
7,431040,431520,65,110
8,431520,432000,63,70
8,432000,432480,63,110
8,432480,432960,63,110
8,432960,433440,63,110
5,433440,433920,68,110
5,433920,434400,68,70
6,434400,434880,66,70
8,434880,435360,63,70
6,435360,435840,66,90
5,435840,436320,68,70
6,436320,436800,66,90
7,436800,437280,65,110
7,437280,437760,65,110
8,437760,438240,63,90
8,438240,438720,63,90
10,438720,439200,59,90
8,439200,439680,63,90
8,439680,440160,63,70
10,440160,440640,59,90
9,440640,441120,62,90
9,441120,441600,62,70
10,441600,442080,59,110
10,442080,442560,59,110
9,442560,443040,62,70
5,443040,443520,68,70
4,443520,444000,70,70
6,444000,444480,66,110
6,444480,444960,66,90
7,444960,445440,65,110
6,445440,445920,66,110
7,445920,446400,65,70
7,446400,446880,65,70
9,446880,447360,62,110
9,447360,447840,62,70
8,447840,448320,63,70
10,448320,448800,59,110
8,448800,449280,63,90
10,449280,449760,59,70
8,449760,450240,63,70
7,450240,450720,65,70
8,450720,451200,63,90
6,451200,451680,66,90
7,451680,452160,65,110
5,452160,452640,68,90
5,452640,453120,68,110
6,453120,453600,66,110
7,453600,454080,65,110
10,454080,454560,59,70
9,454560,455040,62,90
